college,state,students,privateorpublic,acceptance_rate,city,address,zip,urbanicity,website,school_type,graduation_rate,GPA,Division,tuition,fields_of_study_json,student_faculty_ratio,race_ethnicity_json,sat_score,act_score
Coachella Valley Beauty College,カリフォルニア州(CA),120,営利,,La Quinta,79450 Highway 111,92253,郊外,www.cvbeautycollege.com/,2年制,0.6897,N/A,N/A,N/A,N/A,,,,
Valley College of Medical Careers,カリフォルニア州(CA),70,営利,,West Hills,8399 Topanga Canyon Blvd Ste 200,91304,都市部,www.valleycollegeofmedicalcareers.info/,2年制,0.6759,N/A,N/A,N/A,N/A,,,,
Academy of Natural Therapy Inc,コロラド州(CO),45,営利,,Greeley,625 8th Ave,80631-9441,都市部,www.natural-therapy.com/,2年制,,N/A,N/A,N/A,N/A,,,,
Academy Di Capelli-School of Cosmetology,コネチカット州(CT),181,営利,,Wallingford,950 Yale Ave Unit 20,6492,郊外,www.academydicapelli.com/,2年制,0.8789,N/A,N/A,N/A,N/A,,,,
Delaware Learning Institute of Cosmetology,デラウェア州(DE),82,営利,,Dagsboro,32448 Royal Blvd. Suite A,19939,町,delawarecosmetology.com/,2年制,0.7297,N/A,N/A,N/A,N/A,,,,
Dragon Rises College of Oriental Medicine,フロリダ州(FL),,私立,,Gainesville,"1000 NE 16th Ave., Building F",32601,都市部,www.dragonrises.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Palm Beach Academy of Health & Beauty,フロリダ州(FL),90,営利,,West Palm Beach,2601 S. Military Trail Suite 13,33415-2904,郊外,www.pbacademy.net/,2年制,0.6219,N/A,N/A,N/A,N/A,,,,
SABER College,フロリダ州(FL),122,私立,0.6897,Miami,"3990 W Flagler St., Ste 103",33134,都市部,sabercollege.edu/,4年制,0.9455,N/A,N/A,N/A,N/A,,,,
Taylor College,フロリダ州(FL),308,営利,,Ocala,2531 East Silver Springs Boulevard,34470,都市部,taylorcollege.edu/,4年制,0.6667,N/A,N/A,N/A,N/A,,,,
Pensacola School of Massage Therapy & Health Careers,フロリダ州(FL),57,営利,,Pensacola,2409 Creighton Rd,32504,都市部,www.psmthc.com/,2年制,0.6984,N/A,N/A,N/A,N/A,,,,
Denmark College,インディアナ州(IN),176,営利,,Merrillville,8101 Polo Club Dr,46410,郊外,www.successbarberschool.com/,2年制,0.7889,N/A,N/A,N/A,N/A,,,,
Louisiana Culinary Institute,ルイジアナ州(LA),97,営利,0.5,Baton Rouge,10550 Airline Hwy,70816,郊外,www.lci.edu/,4年制,0.7231,N/A,N/A,N/A,N/A,,,,
Bais Medrash Toras Chesed,ニュージャージー州(NJ),110,私立,0.7051,Lakewood,901 Monmouth Ave,8701,都市部,www.bmtc.edu/,N/A,0.4151,N/A,N/A,N/A,N/A,,,,
Ace Institute of Technology,ニューヨーク州(NY),330,営利,,New York,"312 West 36 Street, 2nd Floor",10018,都市部,www.acecareer.edu/,2年制,0.4704,N/A,N/A,N/A,N/A,,,,
New Age Training,ニューヨーク州(NY),216,営利,,New York,"145 West 30th Street, 8th Floor",10001-4034,都市部,https://newagetraining.com/,2年制,0.7105,N/A,N/A,N/A,N/A,,,,
